1,2,3,4,5,6,7,8,9,10,11,12
31995764,1763550,31646444,2297193,1071657,10502114,971775,11574601,960769,8666939,33935964,18350364
3553697,996217,760484,9185893,3932208,32978566,1462142,1339938,11095527,1913135,27934406,182416
1187457,17402432,8102095,9500200,5696460,868390,530672,3949768,20353106,3401718,1650588,185767
3703833,1321334,491936,1760944,34491708,12279792,1575071,24776816,3632210,7677979,25223224,53423
51999840,3310574,20327552,6609728,12603094,28755214,3122822,8313984,6860482,1955278,31987404,23761864
1650274,5419399,1140468,3995916,4605743,28762302,1164472,7249719,6905136,1644474,25543988,56791
2621400,23631368,7336345,37445648,8090090,2584036,4722330,6053980,34123916,2606945,2544032,59042
4077796,11793863,795742,1243780,15776531,3550636,4359999,27034400,18027634,6294004,20946368,54724
