1,2,3,4,5,6,7,8,9,10,11,12
117.5,131.2,121.7,132.2,133.1,136.8,122.6,119.4,115.7,118.3,119.9,131.9
114,138.2,131.2,120.7,111.2,122.4,111.9,118,119.7,115.8,123.8,
113.7,131,118.5,135.3,135.1,0,119.3,119.2,129.9,123.3,130.9,
118.8,129.6,123,112.6,120.4,130.8,107.7,128.4,115.5,116.2,123.6,
108.7,124.2,118.1,112.7,115.2,121.7,111.2,114.6,114.2,128.6,119.1,122.5
126.3,110.5,129.5,122.6,120.9,121.7,122.6,117.5,114.4,123,121.3,
111.2,124.8,136.7,114.3,127.5,118.6,109.2,120,116.3,154.4,105.1,
103.7,112.3,111.3,112.8,117.5,102.3,0,102,112.2,107.4,112.2,
