1,2,3,4,5,6,7,8,9,10,11,12
14785480,1557243,12393635,2576823,2020395,3047906,1231852,3788374,1125197,5376104,14030760,2274220
2959153,1579066,1032265,6016874,3518982,14361692,1867408,1045094,7293024,2306237,10358704,695522
2607304,5172363,6300255,3137626,3458968,2978133,735007,4394658,8080536,3068467,1991823,686733
2994290,1307394,686569,1947988,16644086,14308425,1741190,10600068,4635592,5899889,9668904,675426
26362332,5131242,15905146,6539976,11821927,18328798,4125247,7003440,7132585,3144221,19882314,13011541
1516549,8583907,2234229,4127600,6744686,15123113,1814069,7785832,6938094,2656656,15842770,25121222
3677028,13043365,8898103,21125942,7841181,3411814,5301054,8395108,16030376,3892166,3845028,22961756
4484006,8673709,1344863,1506969,7191084,5068228,3420882,21678414,15401656,6684466,15311655,24604700
