1,2,3,4,5,6,7,8,9,10,11,12
102.8,123.3,110.6,122,122.2,159,109,104.6,96.4,96.2,99.8,199.8
89.8,129.8,101.2,85.5,81.3,91.6,90.8,105.4,92.9,99.6,93.4,
86,109.4,101.6,100.1,122.1,160.2,96.7,96.6,116.4,97.1,93.9,
107.9,121.1,106.2,101,99.8,93.2,88.5,96.7,94.2,92.4,105,
111.5,138.1,0,98.5,102.2,0,91.4,101.9,95.1,136.4,96.9,124.3
95,92.1,119.2,101.6,103.6,109.1,110.5,98.9,93.5,109.8,104.2,
94.2,116.8,0,108.7,125.3,214.2,87.2,103.2,94.2,150.4,88.4,
97.5,102.6,106.4,130.1,127.8,94.2,113.8,103,101.5,95.8,153.7,
